Game_ID,Event_Index,Game_Date,Game_Code,Period,Home_Team,Visitor_Team,Description,Home_Points_Before,Home_Points_After,Visitor_Points_Before,Visitor_Points_After,Point_Change,Score_Diff,Score_Diff_After,Video_Link,Thumbnail_Link,Event_Link
0022500678,466,2026-01-28,2026-01-28/GSWUTA,3,UTA,GSW,Curry 29' 3PT Pullup Jump Shot (18 PTS) (Green 5 AST),67,67,83,86,3,16,19,https://videos.nba.com/nba/pbp/media/2026/01/28/0022500678/466/7da47ddd-d230-b100-b2d4-5ec02878297b_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/28/0022500678/466/7da47ddd-d230-b100-b2d4-5ec02878297b_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=466&GameID=0022500678&Season=2025-2026&flag=1&title=Curry+29%27+3PT+Pullup+Jump+Shot+%2818+PTS%29+%28Green+5+AST%29
0022500678,78,2026-01-28,2026-01-28/GSWUTA,1,UTA,GSW,Curry 3PT Step Back Jump Shot (6 PTS),13,13,16,19,3,3,6,https://videos.nba.com/nba/pbp/media/2026/01/28/0022500678/78/57f82bf0-4c1e-be45-277e-428de75ae030_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/28/0022500678/78/57f82bf0-4c1e-be45-277e-428de75ae030_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=78&GameID=0022500678&Season=2025-2026&flag=1&title=Curry+3PT+Step+Back+Jump+Shot+%286+PTS%29
0022500678,47,2026-01-28,2026-01-28/GSWUTA,1,UTA,GSW,Curry 25' 3PT Step Back Jump Shot (3 PTS),10,10,6,9,3,4,1,https://videos.nba.com/nba/pbp/media/2026/01/28/0022500678/47/d8307649-2f2e-9265-6b2f-a271bee967de_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/28/0022500678/47/d8307649-2f2e-9265-6b2f-a271bee967de_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=47&GameID=0022500678&Season=2025-2026&flag=1&title=Curry+25%27+3PT+Step+Back+Jump+Shot+%283+PTS%29
0022500644,550,2026-01-25,2026-01-25/GSWMIN,4,MIN,GSW,Curry 27' 3PT Pullup Jump Shot (22 PTS) (Green 4 AST),68,68,87,90,3,19,22,https://videos.nba.com/nba/pbp/media/2026/01/25/0022500644/550/ce0e550c-6c9c-74ce-6b08-41f6482b6575_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/25/0022500644/550/ce0e550c-6c9c-74ce-6b08-41f6482b6575_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=550&GameID=0022500644&Season=2025-2026&flag=1&title=Curry+27%27+3PT+Pullup+Jump+Shot+%2822+PTS%29+%28Green+4+AST%29
0022500644,229,2026-01-25,2026-01-25/GSWMIN,2,MIN,GSW,Curry 26' 3PT Jump Shot (12 PTS) (Green 1 AST),24,24,29,32,3,5,8,https://videos.nba.com/nba/pbp/media/2026/01/25/0022500644/229/d3cca94c-19e6-00ac-8c0e-b4d64c5e7793_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/25/0022500644/229/d3cca94c-19e6-00ac-8c0e-b4d64c5e7793_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=229&GameID=0022500644&Season=2025-2026&flag=1&title=Curry+26%27+3PT+Jump+Shot+%2812+PTS%29+%28Green+1+AST%29
0022500644,182,2026-01-25,2026-01-25/GSWMIN,2,MIN,GSW,Curry 25' 3PT Jump Shot (7 PTS) (Payton II 1 AST),19,19,24,27,3,5,8,https://videos.nba.com/nba/pbp/media/2026/01/25/0022500644/182/0da34d36-8398-c9f1-0ee9-094c4c817749_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/25/0022500644/182/0da34d36-8398-c9f1-0ee9-094c4c817749_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=182&GameID=0022500644&Season=2025-2026&flag=1&title=Curry+25%27+3PT+Jump+Shot+%287+PTS%29+%28Payton+II+1+AST%29
0022500630,694,2026-01-22,2026-01-22/GSWDAL,4,DAL,GSW,Curry 25' 3PT Step Back Jump Shot (34 PTS) (Green 5 AST),113,113,101,104,3,12,9,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/694/2d2adfed-14bf-d72a-e980-17f0b2d8aa38_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/694/2d2adfed-14bf-d72a-e980-17f0b2d8aa38_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=694&GameID=0022500630&Season=2025-2026&flag=1&title=Curry+25%27+3PT+Step+Back+Jump+Shot+%2834+PTS%29+%28Green+5+AST%29
0022500630,632,2026-01-22,2026-01-22/GSWDAL,4,DAL,GSW,Curry 30' 3PT Pullup Jump Shot (31 PTS),102,102,98,101,3,4,1,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/632/b91bae7e-924e-87db-7589-594e652a4843_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/632/b91bae7e-924e-87db-7589-594e652a4843_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=632&GameID=0022500630&Season=2025-2026&flag=1&title=Curry+30%27+3PT+Pullup+Jump+Shot+%2831+PTS%29
0022500630,520,2026-01-22,2026-01-22/GSWDAL,3,DAL,GSW,Curry 33' 3PT Pullup Jump Shot (26 PTS),82,82,77,80,3,5,2,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/520/3a29260c-c87e-3d74-b639-5f3e32c46936_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/520/3a29260c-c87e-3d74-b639-5f3e32c46936_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=520&GameID=0022500630&Season=2025-2026&flag=1&title=Curry+33%27+3PT+Pullup+Jump+Shot+%2826+PTS%29
0022500630,516,2026-01-22,2026-01-22/GSWDAL,3,DAL,GSW,Curry 28' 3PT Jump Shot (23 PTS) (Melton 2 AST),79,79,74,77,3,5,2,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/516/edce09b3-a57e-aaff-777d-fbb5e6c448eb_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/516/edce09b3-a57e-aaff-777d-fbb5e6c448eb_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=516&GameID=0022500630&Season=2025-2026&flag=1&title=Curry+28%27+3PT+Jump+Shot+%2823+PTS%29+%28Melton+2+AST%29
